id,priority,category,finding_type,observation,evidence,evidence_grade,affected_scope,business_impact,impact_score,confidence,effort,risk,recommended_action,owner,dependencies,acceptance_test,rollback,review_at_days,status
"B-011","P1","gsc","OBSERVATION","最新 28 天 GSC page 数据为 145 impressions、0 clicks；query/page 数据仅 5 行、14 impressions、0 clicks。","reports/gsc/gsc-query-page-2026-06-28-to-2026-07-25-2026-07-28T10-35-05-325Z-52467.json; reports/gsc/gsc-query-query-page-2026-06-29-to-2026-07-26-2026-07-29T09-50-39-488Z-21719.json","A","全站搜索表现","当前点击为零，不能仅凭 impressions 判断内容方向；需要继续采集和近胜页面刷新。","5","High","S","Low","保存 28/90 天基线，只对已有高位置页面做单变量任务实验。","SEO + Content","28 天数据窗口","30 天后能比较 28 天 vs 前 28 天 clicks/CTR/landing。","不执行高风险批量重写。","30","open"
"B-012","P1","ctr","RECOMMENDATION","对首页、Contact、Quality、Pads/Liners、RFQ checklist 等高位 0 clicks 页面做任务优先刷新和单变量 title/description 实验。","B-011 证据; 第 8 节表","A","5 个高价值页面","把已有曝光转化为可测量的点击和 RFQ 路径。","4","High","M","Low","一次只改一个变量，保留前后版本，28 天验收。","SEO + Content","测量事件和声明清理完成","CTR、Contact arrival 或 RFQ 有正向变化；无变化则回滚。","单项回滚 title/description/首屏模块。","60","open"
"B-013","P1","links","OBSERVATION","没有 GSC Links 导出、Ahrefs/SEMrush/Majestic 或已验证独立第三方引用，无法做完整外链审计。","docs/seo/authority-growth-weekly-2026-07-27.md; 仓库无相关导出","B","全站权威","无法判断品牌提及、失效链接、竞争差距和外链风险。","4","Medium","S","Low","获取 GSC Links 导出或授权 backlink 数据源后再补全审计。","SEO/Data","工具或导出权限","能列出已验证外链、品牌提及和失效来源。","无需回滚。","60","open"
"B-014","P1","links","RECOMMENDATION","外链只做相关、自愿、少量编辑型分发；先公开证据，不买链接、不交换、不做批量 guest post。","docs/seo/backlink-prospects.csv; B-010 证据","B","全站品牌权威","降低违规外链和虚假声明被放大的风险。","4","Medium","M","Medium","人工审核目录/媒体候选，提交前由用户批准。","SEO + Business Owner","证据包、用户授权","出现可验证第三方页面、引荐访问或 RFQ。","未执行外联，无回滚。","90","open"
"B-015","P2","internal-links","OBSERVATION","Resources hub 只列出 6 篇采购文章 + PDF + Evidence，没有 5 个新 Best/HowTo 页面；本地链接图显示其中 3 个页面入站为 0，2 个为 1。","resources/index.html; 本地内链图","A","资源 cluster","新页面已被收录但发现/主题权重弱，内容资产难以形成集群。","4","High","S","Low","在 Resources hub 增加 5 张新资源卡，更新 ItemList，并从相关产品页加正文链接。","SEO + Content","内容确认","5 个新页面都有 2-3 个相关上下文入站；hub 卡片与 ItemList 一致。","移除新增卡/链接即可。","30","done"
"B-016","P2","internal-links","RECOMMENDATION","按第 9 节 source -> target 建设主题内链，锚文本描述用户价值，不用批量精确匹配。","B-015 证据; products/menstrual-cups/index.html; products/pads-liners/index.html; products/index.html","A","资源页和产品页","改善新页发现、主题相关性和买家路径。","4","Medium","S","Low","新增链接需在自然上下文出现并有人工审核。","SEO + Content","内容页面结构确认","上线后本地链接图和爬取链接均与设计一致。","移除新增链接。","30","done"
"B-017","P2","content","OBSERVATION","/resources/menstrual-cup-oem-sourcing-guide/ 与 /resources/how-to-choose-menstrual-cup-oem/ 标题和任务高度重叠。","resources/menstrual-cup-oem-sourcing-guide/index.html:6; resources/how-to-choose-menstrual-cup-oem/index.html:6","A","2 个 cup sourcing 页面","同一意图出现两个 URL，会让用户和搜索系统都难判断主入口。","4","High","S","Medium","先差异化：一个做快速筛选，一个做分步采购流程；30 天后用 GSC/内链数据决定是否合并。","SEO + Content","内容确认","两页 H1、首屏任务和正文步骤明显不同；无重复标题。","保留两页并反向调整即可；合并需单独批准。","60","done"
"B-018","P2","content","RECOMMENDATION","只有出现足够独立需求、重复收录或重复点击时才执行 MERGE_REDIRECT；合并前列出流量、内链、外链、转化和回滚。","B-017 证据; 当前无 backlink 数据","A","cup sourcing 两页","避免过早丢失 URL 资产或制造内容冗余。","4","Medium","S","High","本轮只做差异化和数据观察，不执行合并。","SEO + Content","backlink/GSC 数据、用户批准","如执行合并，目标 URL 保留全部价值并 301 映射；否则两页差异可复核。","备份原页并准备反向重定向映射。","90","open"
"B-019","P2","content","RECOMMENDATION","Best/HowTo 页面增加明确方法论、限制条件、比较口径和“为什么是 YUJI”的证据，不允许用同一模板换产品名。","resources/best-menstrual-cup-manufacturers-china/index.html; resources/best-sanitary-pad-oem-china/index.html; resources/best-feminine-care-private-label/index.html; resources/how-to-start-private-label-pad-brand/index.html","A","5 个新资源页","避免“best”页只有自评，提升可核验性和采购可信度。","4","Medium","M","Medium","每个页面补充筛选标准、数据缺口、证据链接和适用范围。","Content + Quality/Compliance","证据包和内容批准","每页有可复现的筛选口径，不使用绝对营销词。","回滚到现有版本即可。","60","done"
"B-020","P2","international","OBSERVATION","中文 5 页可见正文约 106-156 字，仅 Organization/WebSite/WebPage schema；Contact 已补充结构化表单，但其他中文页仍薄。","zh/index.html; zh/products/index.html; zh/oem-odm/index.html; zh/quality/index.html; zh/contact/index.html","A","中文目录","薄翻译页已收录但不足以服务采购决策，也缺少转化测量。","4","Medium","S","Low","先确认中文需求、销售能力和维护能力，再决定补内容或收缩。","Sales + Content + SEO","中文销售/法规确认","中文目录有明确维护负责人和询盘记录。","不扩大中文页；现有页可保留观察。","60","in_progress"
"B-021","P2","international","RECOMMENDATION","中文不按 impressions 自动扩页；若继续维护，做母语人工 QA、结构化表单、合规口径和 hreflang 双向维护。","B-020 证据; 当前 hreflang 覆盖 5 组","A","中文目录","避免低质量国际 SEO 和无效预算。","4","Medium","S","Low","按 13.3 节治理。","Content + Sales + Dev","中文需求证据","30 天内决定中文目录是加强、维持还是收缩。","保持现状即可。","60","open"
"B-022","P2","analytics","RECOMMENDATION","将 GSC、站内分析、CRM、邮件日志按 28/90 天窗口联表，按页面类型和来源输出 landing -> RFQ。","B-001; B-011 证据","A","SEO 报告体系","让优化计划能由数据驱动，而不是继续凭 GSC impressions 推断。","4","High","M","Low","建立周/月报告模板，字段包括页面、query、国家、设备、landing、CTA、RFQ。","Data/SEO","账号和口径","90 天内能输出完整 28 天漏斗报告。","报告模板可停用，不影响站点。","90","open"
"B-023","P3","performance","OBSERVATION","PageSpeed 导出 60 行无 failures，Mobile Performance 最低 0.92、Desktop 最低 1.0，但没有 CrUX field data 和 INP。","reports/pagespeed/pagespeed-2026-07-29T09-39-03-332Z.json","A/B","全站性能","Lab 性能不是现场体验，也不能证明真实用户 CWV。","2","High","S","Low","补充 CrUX/PageSpeed field data 或服务器日志后再做性能结论。","Dev/SEO","Google/PageSpeed 数据访问","能查看至少 28 天 field data 或 INP。","无需回滚。","90","open"
"B-024","P3","performance","RECOMMENDATION","不因 Lighthouse 高分停止性能优化；先检查 LCP 元素、字体、第三方脚本和移动端真实交互。","B-023 证据","A/B","全站","避免把 lab 高分误当用户指标。","2","Medium","M","Low","在 field data 可用后按 P0/P1 优先级处理。","Dev","field data","性能报告包含 field LCP/INP/CLS。","无需回滚。","90","open"
"B-025","P3","technical","OBSERVATION","sitemap.xml 30 个 URL 的 lastmod 全部为 2026-08-05，未反映各页真实修改差异；本次已更新实质变更页面。","sitemap.xml","A","全站 sitemap","lastmod 不准确会降低 sitemap 作为变更信号的可信度。","2","Medium","S","Low","仅在实质内容变更后更新对应 lastmod。","Dev/SEO","发布流程","sitemap lastmod 与页面实际变更一致。","可重新生成 sitemap。","90","done"
"B-026","P3","technical","RECOMMENDATION","建立部署时自动校验 sitemap URL、canonical、robots 和 hreflang 的只读巡检。","sitemap.xml; vercel.json; 30 HTML pages","A","发布质量","减少后续改版造成技术回归。","3","Medium","M","Low","在 CI 或本地脚本加入只读检查，不执行线上写入。","Dev","发布流程","每次部署后检查通过。","移除脚本即可。","90","open"
"B-027","P3","ai-governance","OBSERVATION","robots.txt 开放，但没有 AI answer 追踪、Bing 数据或独立 AI 引荐报告。","robots.txt; 无相关导出","A","AI/Bing 可见性","无法判断 AI 搜索和 Bing 是否有真实受众。","2","Medium","S","Low","把 AI/Bing 引荐、点击、RFQ 分开测量。","SEO/Data","分析后台权限","能区分 search/AI/Bing 来源。","无需回滚。","90","open"
"B-028","P3","ai-governance","RECOMMENDATION","保留 robots 开放但记录抓取成本；不制造非标准 AI schema 或批量 fan-out 页面。","robots.txt; 当前无 PSEO 批量页","A","AI 治理","避免追逐不可验证的 AI 可见性指标。","2","Medium","S","Low","先建立测量和人工事实闸门，再考虑 AI 相关实验。","SEO + Content","测量和法务","AI/Bing 报告存在并分开测量。","不执行外部写入。","90","open"
"B-029","P3","asset","RECOMMENDATION","只有在英文 RFQ 数据证明采购团队反复需要检查表时，再做一个真实可用的 RFQ readiness 工具。","docs/seo/keyword-map-2026-07-13.md; resources/feminine-care-oem-rfq-checklist/index.html","B","工具资产","避免为造工具而造工具。","2","Medium","M","Medium","先做需求验证和字段原型，不批量生成页面。","Product/Content","需求数据、用户反馈","工具上线后有下载/填写/RFQ 事件且无维护负担。","下架工具即可。","90","open"
"B-030","P3","editorial","RECOMMENDATION","在公开证据上线后，优先推进真实资源页替换、行业目录、记者问答、播客和社区原生回答，每项人工批准。","docs/seo/backlink-prospects.csv; B-010","B","品牌权威","低成本、相关性高、风险可控的分发机会。","3","Medium","M","Medium","不做批量外联；每项有目标、素材和验收。","SEO + Business Owner","证据包、用户授权","出现可验证第三方页、引荐或 RFQ。","未执行则无回滚。","90","open"
"B-031","P3","international","OBSERVATION","hreflang 只覆盖中英都存在的 5 组页面；资源页没有中文版，因此暂不构成缺失，但未来新增中文资源页时必须成对维护。","各页面 head 扫描","A","多语言治理","避免未来 hreflang 单向/错误信号。","1","High","S","Low","把 hreflang 检查加入发布巡检。","Dev/SEO","发布流程","任何中文新增页都有 en/zh/x-default 双向关系。","无回滚。","90","open"
"B-032","P3","pseo","OBSERVATION","当前 30 个 URL 未发现按城市/产品名/同义改写的批量薄页；现有资源文章内容量足以服务单一任务。","30 个 HTML 页面扫描; sitemap.xml","A","内容规模治理","当前没有 PSEO 滥用，不需要清洗。","1","High","S","Low","保持内容新增门槛：每个新 URL 必须有独立任务和真实增量。","SEO + Content","内容治理规则","新 URL 上线前通过页面任务审查。","无回滚。","90","open"
"B-033","P1","gsc","INFERENCE","145 impressions、0 clicks 可能说明高位置页面在 SERP 中的信任/任务/snippet 表达不足，也可能只是样本太小或品牌低需求导致；不能据此确认单一原因。","B-011 证据; 多周 28 天窗口始终 0 clicks","B","首页、Contact、Quality、Pads、RFQ 等高位页面","如果只看 impressions 会误判为机会，只有点击和站内漏斗能区分信任、意图和需求问题。","4","Medium","S","Low","继续采集 28/90 天数据，并在测量闭环建立后做单变量任务刷新。","SEO + Data + Content","Plausible/CRM 基线","28 天后比较 clicks/CTR/Contact/RFQ，不只用位置判断。","无外部写入。","60","open"
